City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Miami,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",6.7,5.61,7.79,5.61–7.79,2.15,1.61,2.69,1.61–2.69,1
San Francisco,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",4.31,3.89,4.74,3.89–4.74,1.9,1.58,2.23,1.58–2.23,2
Los Angeles,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",4.1,3.94,4.25,3.94–4.25,1.34,1.27,1.42,1.27–1.42,3
New York,NY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",4.04,3.93,4.14,3.93–4.14,1.22,1.16,1.28,1.16–1.28,4
Boston,MA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",3.75,3.49,4.01,3.49–4.01,1.92,1.73,2.11,1.73–2.11,5
Oakland,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",3.63,2.91,4.34,2.91–4.34,0.63,0.43,0.82,0.43–0.82,6
Houston,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",3.03,2.88,3.18,2.88–3.18,0.95,0.84,1.07,0.84–1.07,7
Jersey City,NJ,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.86,2.49,3.22,2.49–3.22,0.35,0.19,0.51,0.19–0.51,8
Seattle,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.84,2.69,2.99,2.69–2.99,0.95,0.89,1.02,0.89–1.02,9
Durham,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.79,2.13,3.45,2.13–3.45,0.17,0.1,0.25,0.1–0.25,10
Washington,DC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.75,2.47,3.03,2.47–3.03,0.74,0.63,0.85,0.63–0.85,11
Philadelphia,PA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.6,2.39,2.8,2.39–2.8,0.26,0.23,0.3,0.23–0.3,12
San Diego,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.46,2.21,2.71,2.21–2.71,0.81,0.7,0.93,0.7–0.93,13
Sacramento,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.44,2.06,2.82,2.06–2.82,0.88,0.64,1.12,0.64–1.12,14
Boulder,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.43,1.98,2.88,1.98–2.88,0.59,0.39,0.79,0.39–0.79,15
Austin,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.41,2.25,2.57,2.25–2.57,0.64,0.56,0.72,0.56–0.72,16
Spokane,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.4,1.71,3.09,1.71–3.09,0.18,0.1,0.26,0.1–0.26,17
Phoenix,AZ,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.25,1.99,2.51,1.99–2.51,0.85,0.68,1.01,0.68–1.01,18
Portland,OR,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.18,2.02,2.35,2.02–2.35,0.82,0.73,0.91,0.73–0.91,19
Denver,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.14,1.96,2.31,1.96–2.31,0.54,0.45,0.63,0.45–0.63,20
Colorado Springs,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.03,1.8,2.26,1.8–2.26,0.62,0.5,0.74,0.5–0.74,21
Nashville,TN,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",2.02,1.6,2.44,1.6–2.44,0.31,0.16,0.45,0.16–0.45,22
Jacksonville,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.97,1.71,2.23,1.71–2.23,0.45,0.33,0.57,0.33–0.57,23
Boise,ID,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.94,1.56,2.33,1.56–2.33,0.77,0.44,1.09,0.44–1.09,24
Honolulu,HI,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.94,1.61,2.26,1.61–2.26,0.95,0.77,1.13,0.77–1.13,25
Cleveland,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.92,1.47,2.38,1.47–2.38,0.55,0.34,0.75,0.34–0.75,26
Kansas City,MO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.87,1.55,2.18,1.55–2.18,0.15,0.08,0.22,0.08–0.22,27
Atlanta,GA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.83,1.59,2.07,1.59–2.07,1.37,0.96,1.78,0.96–1.78,28
Louisville,KY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.83,1.45,2.21,1.45–2.21,0.37,0.26,0.47,0.26–0.47,29
Sioux Falls,SD,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.69,1.4,1.98,1.4–1.98,0.22,0.15,0.29,0.15–0.29,30
Fort Worth,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.66,1.53,1.8,1.53–1.8,0.25,0.2,0.31,0.2–0.31,31
Anaheim,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.55,1.34,1.77,1.34–1.77,0.79,0.58,0.99,0.58–0.99,32
Columbus,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.48,1.35,1.61,1.35–1.61,0.22,0.19,0.25,0.19–0.25,33
Indianapolis,IN,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.45,1.14,1.76,1.14–1.76,0.4,0.24,0.56,0.24–0.56,34
Orlando,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.34,1.18,1.5,1.18–1.5,0.31,0.24,0.38,0.24–0.38,35
Raleigh,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.3,1.11,1.49,1.11–1.49,0.26,0.18,0.33,0.18–0.33,36
Reno,NV,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.27,1.18,1.36,1.18–1.36,0.06,0.04,0.08,0.04–0.08,37
Grand Rapids,MI,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$80,000",1.17,0.87,1.47,0.87–1.47,0.28,0.1,0.45,0.1–0.45,38
Miami,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",7.55,6.07,9.04,6.07–9.04,2.23,1.53,2.92,1.53–2.92,1
San Francisco,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",4.38,3.93,4.83,3.93–4.83,1.94,1.6,2.27,1.6–2.27,2
Los Angeles,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",4.22,4.03,4.42,4.03–4.42,1.37,1.28,1.47,1.28–1.47,3
New York,NY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",4.16,4.04,4.28,4.04–4.28,1.23,1.16,1.3,1.16–1.3,4
Boston,MA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",3.8,3.5,4.09,3.5–4.09,1.98,1.75,2.21,1.75–2.21,5
Oakland,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",3.48,2.7,4.26,2.7–4.26,0.57,0.35,0.79,0.35–0.79,6
Houston,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",3.18,3.01,3.36,3.01–3.36,1.04,0.9,1.18,0.9–1.18,7
Jersey City,NJ,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.89,2.46,3.32,2.46–3.32,0.36,0.21,0.52,0.21–0.52,8
Seattle,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.81,2.65,2.97,2.65–2.97,0.96,0.89,1.04,0.89–1.04,9
Washington,DC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.75,2.47,3.03,2.47–3.03,0.73,0.63,0.84,0.63–0.84,10
Philadelphia,PA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.66,2.42,2.9,2.42–2.9,0.26,0.22,0.29,0.22–0.29,11
Durham,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.59,1.92,3.27,1.92–3.27,0.17,0.09,0.24,0.09–0.24,12
Boulder,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.46,1.95,2.98,1.95–2.98,0.44,0.27,0.61,0.27–0.61,13
Austin,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.42,2.24,2.6,2.24–2.6,0.64,0.56,0.73,0.56–0.73,14
Phoenix,AZ,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.37,2.06,2.69,2.06–2.69,0.96,0.74,1.18,0.74–1.18,15
Spokane,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.37,1.61,3.12,1.61–3.12,0.15,0.07,0.23,0.07–0.23,16
Sacramento,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.32,1.95,2.69,1.95–2.69,0.77,0.54,1,0.54–1,17
Portland,OR,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.28,2.08,2.47,2.08–2.47,0.83,0.73,0.94,0.73–0.94,18
San Diego,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.26,2.01,2.51,2.01–2.51,0.69,0.58,0.79,0.58–0.79,19
Nashville,TN,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.22,1.69,2.75,1.69–2.75,0.34,0.15,0.52,0.15–0.52,20
Denver,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",2.19,1.99,2.39,1.99–2.39,0.52,0.42,0.62,0.42–0.62,21
Cleveland,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.98,1.5,2.47,1.5–2.47,0.54,0.33,0.75,0.33–0.75,22
Colorado Springs,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.96,1.7,2.23,1.7–2.23,0.56,0.44,0.68,0.44–0.68,23
Boise,ID,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.95,1.51,2.39,1.51–2.39,0.76,0.39,1.13,0.39–1.13,24
Jacksonville,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.9,1.64,2.17,1.64–2.17,0.41,0.29,0.52,0.29–0.52,25
Kansas City,MO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.84,1.5,2.19,1.5–2.19,0.17,0.08,0.27,0.08–0.27,26
Atlanta,GA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.84,1.6,2.08,1.6–2.08,1.42,0.98,1.85,0.98–1.85,27
Louisville,KY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.74,1.35,2.13,1.35–2.13,0.33,0.23,0.44,0.23–0.44,28
Sioux Falls,SD,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.68,1.35,2.01,1.35–2.01,0.17,0.1,0.24,0.1–0.24,29
Honolulu,HI,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.61,1.32,1.9,1.32–1.9,0.89,0.71,1.06,0.71–1.06,30
Indianapolis,IN,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.59,1.21,1.97,1.21–1.97,0.51,0.29,0.73,0.29–0.73,31
Fort Worth,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.58,1.44,1.72,1.44–1.72,0.22,0.17,0.27,0.17–0.27,32
Columbus,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.4,1.28,1.53,1.28–1.53,0.21,0.18,0.24,0.18–0.24,33
Raleigh,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.36,1.14,1.58,1.14–1.58,0.26,0.18,0.33,0.18–0.33,34
Orlando,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.35,1.16,1.54,1.16–1.54,0.31,0.23,0.39,0.23–0.39,35
Anaheim,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.3,1.02,1.57,1.02–1.57,0.65,0.39,0.9,0.39–0.9,36
Reno,NV,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.26,1.16,1.36,1.16–1.36,0.05,0.03,0.06,0.03–0.06,37
Grand Rapids,MI,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Urban core (25,000/sq. mi.)","$120,000",1.21,0.84,1.57,0.84–1.57,0.24,0.05,0.44,0.05–0.44,38
Oakland,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",5.85,4.45,7.25,4.45–7.25,1.24,0.79,1.7,0.79–1.7,1
San Francisco,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",4.85,4.27,5.44,4.27–5.44,1.7,1.26,2.14,1.26–2.14,2
New York,NY,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",4.12,3.86,4.38,3.86–4.38,1.42,1.23,1.62,1.23–1.62,3
Los Angeles,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",3.82,3.57,4.07,3.57–4.07,1.53,1.38,1.68,1.38–1.68,4
Seattle,WA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",3.06,2.69,3.43,2.69–3.43,0.93,0.78,1.09,0.78–1.09,5
Durham,NC,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",3,2.7,3.29,2.7–3.29,0.37,0.31,0.43,0.31–0.43,6
Boston,MA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.97,2.56,3.38,2.56–3.38,1.34,1.03,1.64,1.03–1.64,7
Honolulu,HI,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.85,2.28,3.42,2.28–3.42,0.85,0.7,1,0.7–1,8
Sacramento,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.66,2.29,3.04,2.29–3.04,1.14,0.89,1.4,0.89–1.4,9
Washington,DC,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.63,2.02,3.24,2.02–3.24,0.73,0.44,1.03,0.44–1.03,10
Philadelphia,PA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.51,2.09,2.93,2.09–2.93,0.29,0.2,0.39,0.2–0.39,11
Houston,TX,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.5,2.38,2.63,2.38–2.63,0.54,0.47,0.6,0.47–0.6,12
San Diego,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.45,2.12,2.78,2.12–2.78,0.73,0.58,0.88,0.58–0.88,13
Phoenix,AZ,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.44,2.27,2.61,2.27–2.61,0.93,0.81,1.05,0.81–1.05,14
Portland,OR,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.41,2.21,2.6,2.21–2.6,0.87,0.76,0.98,0.76–0.98,15
Boise,ID,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.31,1.97,2.66,1.97–2.66,0.7,0.5,0.9,0.5–0.9,16
Colorado Springs,CO,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.3,2.01,2.58,2.01–2.58,0.78,0.59,0.98,0.59–0.98,17
Boulder,CO,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.27,1.93,2.62,1.93–2.62,0.94,0.72,1.17,0.72–1.17,18
Austin,TX,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.23,2.13,2.33,2.13–2.33,0.65,0.59,0.7,0.59–0.7,19
Spokane,WA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.16,1.28,3.03,1.28–3.03,0.59,0.42,0.76,0.42–0.76,20
Orlando,FL,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.11,1.95,2.27,1.95–2.27,0.76,0.65,0.87,0.65–0.87,21
Atlanta,GA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.09,1.75,2.42,1.75–2.42,1.35,0.87,1.84,0.87–1.84,22
Denver,CO,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.08,1.93,2.23,1.93–2.23,0.51,0.42,0.6,0.42–0.6,23
Nashville,TN,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",2.01,1.78,2.23,1.78–2.23,0.45,0.34,0.56,0.34–0.56,24
Kansas City,MO,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.96,1.78,2.15,1.78–2.15,0.23,0.17,0.28,0.17–0.28,25
Tampa,FL,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.96,1.31,2.61,1.31–2.61,0.49,0.28,0.71,0.28–0.71,26
Cleveland,OH,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.92,1.47,2.37,1.47–2.37,0.49,0.26,0.71,0.26–0.71,27
Cincinnati,OH,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.9,1.38,2.41,1.38–2.41,0.3,0.14,0.46,0.14–0.46,28
Columbus,OH,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.89,1.78,2,1.78–2,0.34,0.3,0.38,0.3–0.38,29
Fort Worth,TX,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.79,1.69,1.88,1.69–1.88,0.32,0.26,0.37,0.26–0.37,30
Sioux Falls,SD,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.78,1.51,2.06,1.51–2.06,0.43,0.33,0.52,0.33–0.52,31
Jacksonville,FL,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.53,1.37,1.69,1.37–1.69,0.34,0.28,0.4,0.28–0.4,32
Indianapolis,IN,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.51,1.32,1.71,1.32–1.71,0.53,0.41,0.64,0.41–0.64,33
Reno,NV,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.47,1.35,1.6,1.35–1.6,0.15,0.1,0.2,0.1–0.2,34
Grand Rapids,MI,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.46,1.23,1.69,1.23–1.69,0.32,0.17,0.48,0.17–0.48,35
Louisville,KY,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.39,1.24,1.54,1.24–1.54,0.34,0.29,0.4,0.29–0.4,36
Raleigh,NC,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$50,000",1.23,1.1,1.36,1.1–1.36,0.24,0.17,0.3,0.17–0.3,37
Oakland,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",5.58,4.68,6.48,4.68–6.48,1.11,0.81,1.42,0.81–1.42,1
San Francisco,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",4.94,4.34,5.54,4.34–5.54,1.74,1.29,2.19,1.29–2.19,2
New York,NY,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",4.27,4.01,4.53,4.01–4.53,1.44,1.25,1.62,1.25–1.62,3
Los Angeles,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",3.96,3.71,4.2,3.71–4.2,1.57,1.42,1.72,1.42–1.72,4
Tulsa,OK,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",3.36,2.58,4.13,2.58–4.13,0.78,0.47,1.1,0.47–1.1,5
Seattle,WA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",3.02,2.69,3.35,2.69–3.35,0.94,0.8,1.08,0.8–1.08,6
Boston,MA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",3.01,2.61,3.41,2.61–3.41,1.39,1.09,1.68,1.09–1.68,7
Durham,NC,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.75,2.49,3.02,2.49–3.02,0.36,0.31,0.41,0.31–0.41,8
Houston,TX,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.65,2.52,2.78,2.52–2.78,0.59,0.52,0.66,0.52–0.66,9
Washington,DC,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.63,2.04,3.22,2.04–3.22,0.73,0.44,1.01,0.44–1.01,10
Phoenix,AZ,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.6,2.43,2.77,2.43–2.77,1.08,0.95,1.2,0.95–1.2,11
Philadelphia,PA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.58,2.13,3.02,2.13–3.02,0.28,0.19,0.38,0.19–0.38,12
Portland,OR,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.52,2.32,2.73,2.32–2.73,0.89,0.78,0.99,0.78–0.99,13
Sacramento,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.51,2.21,2.82,2.21–2.82,0.98,0.78,1.19,0.78–1.19,14
Boise,ID,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.32,1.96,2.69,1.96–2.69,0.69,0.48,0.91,0.48–0.91,15
Boulder,CO,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.31,2.07,2.54,2.07–2.54,0.68,0.54,0.81,0.54–0.81,16
Honolulu,HI,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.31,2.03,2.58,2.03–2.58,0.79,0.7,0.88,0.7–0.88,17
Austin,TX,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.24,2.15,2.33,2.15–2.33,0.65,0.6,0.7,0.6–0.7,18
Nashville,TN,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.24,1.98,2.5,1.98–2.5,0.5,0.38,0.62,0.38–0.62,19
Colorado Springs,CO,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.22,2,2.43,2–2.43,0.7,0.56,0.84,0.56–0.84,20
San Diego,CA,Multifamily,"5 units, 1,500 sq. ft. each",5,1500,"Low-density suburb (1,000/sq. mi.)","$80,000",2.22,1.97,2.46,1.97–2.46,0.6,0.5,0.7,0.5–0.7,21
