City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Cleveland,OH,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.79,1.54,2.05,1.54–2.05,0.44,0.31,0.57,0.31–0.57,28
Colorado Springs,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.72,1.51,1.92,1.51–1.92,0.49,0.39,0.6,0.39–0.6,29
Tampa,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.72,1.41,2.03,1.41–2.03,0.52,0.4,0.63,0.4–0.63,30
Anaheim,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.63,1.43,1.84,1.43–1.84,1.29,1,1.58,1–1.58,31
Orlando,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.62,1.46,1.77,1.46–1.77,0.43,0.36,0.51,0.36–0.51,32
Fort Worth,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.61,1.52,1.69,1.52–1.69,0.23,0.19,0.26,0.19–0.26,33
Jacksonville,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.59,1.43,1.76,1.43–1.76,0.36,0.29,0.43,0.29–0.43,34
Columbus,OH,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.55,1.47,1.64,1.47–1.64,0.28,0.25,0.3,0.25–0.3,35
Indianapolis,IN,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.49,1.33,1.65,1.33–1.65,0.52,0.41,0.64,0.41–0.64,36
Louisville,KY,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.43,1.26,1.6,1.26–1.6,0.31,0.26,0.36,0.26–0.36,37
Grand Rapids,MI,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.35,1.16,1.54,1.16–1.54,0.27,0.19,0.35,0.19–0.35,38
Reno,NV,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.31,1.24,1.38,1.24–1.38,0.08,0.06,0.1,0.06–0.1,39
Raleigh,NC,Multifamily,"5 units, 900 sq. ft. each",5,900,"City neighborhood (4,000/sq. mi.)",1.22,1.09,1.36,1.09–1.36,0.22,0.17,0.27,0.17–0.27,40
Miami,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",6.2,5.26,7.14,5.26–7.14,1.99,1.54,2.44,1.54–2.44,1
San Francisco,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",4.43,3.95,4.9,3.95–4.9,1.81,1.47,2.16,1.47–2.16,2
Oakland,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",4.31,3.49,5.13,3.49–5.13,0.85,0.64,1.06,0.64–1.06,3
New York,NY,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",3.95,3.82,4.08,3.82–4.08,1.26,1.18,1.34,1.18–1.34,4
Los Angeles,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",3.91,3.75,4.07,3.75–4.07,1.43,1.34,1.51,1.34–1.51,5
Boston,MA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",3.56,3.3,3.82,3.3–3.82,1.8,1.61,2,1.61–2,6
Houston,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.88,2.76,3.01,2.76–3.01,0.82,0.74,0.9,0.74–0.9,7
Seattle,WA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.86,2.74,2.98,2.74–2.98,0.94,0.9,0.99,0.9–0.99,8
Jersey City,NJ,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.77,2.25,3.29,2.25–3.29,0.32,0.11,0.53,0.11–0.53,9
Washington,DC,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.76,2.47,3.06,2.47–3.06,0.74,0.61,0.88,0.61–0.88,10
Durham,NC,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.75,2.25,3.25,2.25–3.25,0.21,0.14,0.28,0.14–0.28,11
Philadelphia,PA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.6,2.38,2.81,2.38–2.81,0.26,0.22,0.31,0.22–0.31,12
Sacramento,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.55,2.15,2.94,2.15–2.94,0.92,0.67,1.17,0.67–1.17,13
San Diego,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.39,2.17,2.61,2.17–2.61,0.74,0.65,0.82,0.65–0.82,14
Austin,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.28,2.15,2.4,2.15–2.4,0.64,0.57,0.7,0.57–0.7,15
Phoenix,AZ,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.27,2.02,2.51,2.02–2.51,0.93,0.76,1.1,0.76–1.1,16
Boulder,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.22,1.85,2.6,1.85–2.6,0.56,0.38,0.74,0.38–0.74,17
Denver,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.16,1.98,2.33,1.98–2.33,0.53,0.44,0.62,0.44–0.62,18
Spokane,WA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.12,1.65,2.6,1.65–2.6,0.24,0.15,0.32,0.15–0.32,19
Portland,OR,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.11,1.99,2.23,1.99–2.23,0.81,0.74,0.88,0.74–0.88,20
Boise,ID,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",2.02,1.65,2.4,1.65–2.4,0.76,0.47,1.06,0.47–1.06,21
Honolulu,HI,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.97,1.68,2.25,1.68–2.25,0.85,0.71,1,0.71–1,22
Nashville,TN,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.88,1.57,2.19,1.57–2.19,0.32,0.2,0.44,0.2–0.44,23
Kansas City,MO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.82,1.57,2.07,1.57–2.07,0.17,0.1,0.23,0.1–0.23,24
Atlanta,GA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.82,1.62,2.02,1.62–2.02,1.28,0.97,1.59,0.97–1.59,25
Cleveland,OH,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.8,1.51,2.09,1.51–2.09,0.46,0.34,0.59,0.34–0.59,26
Sioux Falls,SD,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.78,1.54,2.02,1.54–2.02,0.23,0.18,0.29,0.18–0.29,27
Jacksonville,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.74,1.54,1.94,1.54–1.94,0.41,0.32,0.49,0.32–0.49,28
Colorado Springs,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.73,1.51,1.95,1.51–1.95,0.5,0.39,0.61,0.39–0.61,29
Tampa,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.61,1.17,2.06,1.17–2.06,0.53,0.33,0.74,0.33–0.74,30
Fort Worth,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.61,1.51,1.71,1.51–1.71,0.23,0.18,0.27,0.18–0.27,31
Louisville,KY,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.59,1.33,1.84,1.33–1.84,0.33,0.26,0.4,0.26–0.4,32
Anaheim,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.57,1.42,1.72,1.42–1.72,1.01,0.84,1.19,0.84–1.19,33
Columbus,OH,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.49,1.38,1.6,1.38–1.6,0.25,0.22,0.28,0.22–0.28,34
Indianapolis,IN,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.44,1.22,1.66,1.22–1.66,0.45,0.31,0.58,0.31–0.58,35
Orlando,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.43,1.28,1.59,1.28–1.59,0.35,0.28,0.41,0.28–0.41,36
Reno,NV,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.27,1.19,1.34,1.19–1.34,0.07,0.05,0.09,0.05–0.09,37
Grand Rapids,MI,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.26,1.02,1.49,1.02–1.49,0.27,0.15,0.38,0.15–0.38,38
Raleigh,NC,Multifamily,"5 units, 900 sq. ft. each",5,900,"Dense city neighborhood (10,000/sq. mi.)",1.24,1.08,1.4,1.08–1.4,0.23,0.17,0.28,0.17–0.28,39
Miami,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",6.7,5.61,7.8,5.61–7.8,2.09,1.54,2.64,1.54–2.64,1
San Francisco,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",4.27,3.81,4.73,3.81–4.73,1.87,1.52,2.21,1.52–2.21,2
Los Angeles,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",3.98,3.8,4.15,3.8–4.15,1.36,1.27,1.45,1.27–1.45,3
New York,NY,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",3.92,3.81,4.02,3.81–4.02,1.21,1.15,1.27,1.15–1.27,4
Boston,MA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",3.78,3.49,4.08,3.49–4.08,1.97,1.75,2.18,1.75–2.18,5
Oakland,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",3.78,2.95,4.61,2.95–4.61,0.7,0.48,0.93,0.48–0.93,6
Houston,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",3,2.84,3.16,2.84–3.16,0.94,0.83,1.06,0.83–1.06,7
Jersey City,NJ,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.88,2.5,3.25,2.5–3.25,0.35,0.18,0.51,0.18–0.51,8
Seattle,WA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.82,2.66,2.97,2.66–2.97,0.95,0.88,1.02,0.88–1.02,9
Washington,DC,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.79,2.51,3.08,2.51–3.08,0.74,0.63,0.86,0.63–0.86,10
Durham,NC,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.76,2.1,3.42,2.1–3.42,0.17,0.1,0.25,0.1–0.25,11
Philadelphia,PA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.6,2.4,2.8,2.4–2.8,0.26,0.22,0.29,0.22–0.29,12
Sacramento,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.51,2.09,2.93,2.09–2.93,0.89,0.63,1.15,0.63–1.15,13
San Diego,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.46,2.21,2.71,2.21–2.71,0.8,0.69,0.92,0.69–0.92,14
Austin,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.34,2.19,2.49,2.19–2.49,0.64,0.56,0.71,0.56–0.71,15
Boulder,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.29,1.82,2.75,1.82–2.75,0.55,0.35,0.75,0.35–0.75,16
Spokane,WA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.24,1.57,2.9,1.57–2.9,0.18,0.1,0.25,0.1–0.25,17
Phoenix,AZ,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.19,1.92,2.46,1.92–2.46,0.87,0.68,1.05,0.68–1.05,18
Denver,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.15,1.97,2.33,1.97–2.33,0.55,0.45,0.64,0.45–0.64,19
Portland,OR,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",2.05,1.92,2.19,1.92–2.19,0.8,0.72,0.88,0.72–0.88,20
Boise,ID,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.93,1.54,2.32,1.54–2.32,0.78,0.44,1.12,0.44–1.12,21
Jacksonville,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.91,1.66,2.15,1.66–2.15,0.45,0.34,0.57,0.34–0.57,22
Honolulu,HI,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.88,1.56,2.2,1.56–2.2,0.91,0.73,1.09,0.73–1.09,23
Nashville,TN,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.86,1.48,2.24,1.48–2.24,0.28,0.15,0.41,0.15–0.41,24
Kansas City,MO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.81,1.49,2.14,1.49–2.14,0.14,0.07,0.21,0.07–0.21,25
Cleveland,OH,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.81,1.38,2.23,1.38–2.23,0.49,0.31,0.68,0.31–0.68,26
Atlanta,GA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.76,1.54,1.99,1.54–1.99,1.29,0.9,1.67,0.9–1.67,27
Louisville,KY,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.76,1.39,2.12,1.39–2.12,0.35,0.25,0.45,0.25–0.45,28
Sioux Falls,SD,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.75,1.44,2.05,1.44–2.05,0.21,0.15,0.28,0.15–0.28,29
Colorado Springs,CO,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.74,1.49,1.99,1.49–1.99,0.51,0.39,0.62,0.39–0.62,30
Fort Worth,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.62,1.48,1.75,1.48–1.75,0.23,0.17,0.28,0.17–0.28,31
Anaheim,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.51,1.29,1.72,1.29–1.72,0.79,0.58,1,0.58–1,32
Columbus,OH,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.42,1.29,1.56,1.29–1.56,0.22,0.19,0.26,0.19–0.26,33
Indianapolis,IN,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.4,1.1,1.7,1.1–1.7,0.39,0.23,0.54,0.23–0.54,34
Orlando,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.27,1.11,1.43,1.11–1.43,0.28,0.21,0.34,0.21–0.34,35
Raleigh,NC,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.25,1.06,1.44,1.06–1.44,0.23,0.17,0.3,0.17–0.3,36
Reno,NV,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.23,1.14,1.31,1.14–1.31,0.06,0.04,0.08,0.04–0.08,37
Grand Rapids,MI,Multifamily,"5 units, 900 sq. ft. each",5,900,"Urban core (25,000/sq. mi.)",1.17,0.87,1.47,0.87–1.47,0.27,0.1,0.44,0.1–0.44,38
Oakland,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",5.76,4.7,6.82,4.7–6.82,1.22,0.83,1.6,0.83–1.6,1
San Francisco,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",4.9,4.29,5.51,4.29–5.51,1.71,1.26,2.16,1.26–2.16,2
New York,NY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",4.17,3.92,4.42,3.92–4.42,1.42,1.24,1.61,1.24–1.61,3
Los Angeles,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",3.86,3.62,4.1,3.62–4.1,1.58,1.43,1.74,1.43–1.74,4
Tulsa,OK,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",3.32,2.57,4.08,2.57–4.08,0.76,0.45,1.07,0.45–1.07,5
Boston,MA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",3.03,2.64,3.42,2.64–3.42,1.41,1.12,1.71,1.12–1.71,6
Seattle,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",3,2.68,3.33,2.68–3.33,0.94,0.8,1.08,0.8–1.08,7
Durham,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.73,2.47,3,2.47–3,0.36,0.31,0.41,0.31–0.41,8
Washington,DC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.66,2.06,3.25,2.06–3.25,0.73,0.45,1.02,0.45–1.02,9
Baton Rouge,LA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.64,1.67,3.6,1.67–3.6,0.47,0.23,0.72,0.23–0.72,10
Houston,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.63,2.5,2.76,2.5–2.76,0.59,0.52,0.65,0.52–0.65,11
Philadelphia,PA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.58,2.13,3.03,2.13–3.03,0.28,0.19,0.38,0.19–0.38,12
Sacramento,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.57,2.24,2.89,2.24–2.89,0.99,0.78,1.21,0.78–1.21,13
Phoenix,AZ,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.54,2.36,2.72,2.36–2.72,1.1,0.96,1.23,0.96–1.23,14
Portland,OR,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.41,2.24,2.58,2.24–2.58,0.87,0.78,0.96,0.78–0.96,15
Boise,ID,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.31,1.94,2.67,1.94–2.67,0.7,0.49,0.92,0.49–0.92,16
Honolulu,HI,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.26,2,2.51,2–2.51,0.76,0.67,0.85,0.67–0.85,17
San Diego,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.22,1.98,2.45,1.98–2.45,0.59,0.5,0.69,0.5–0.69,18
Boulder,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.2,1.97,2.43,1.97–2.43,0.64,0.5,0.78,0.5–0.78,19
Austin,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.19,2.1,2.28,2.1–2.28,0.65,0.6,0.69,0.6–0.69,20
Denver,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.15,1.98,2.32,1.98–2.32,0.49,0.4,0.57,0.4–0.57,21
Nashville,TN,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.1,1.86,2.33,1.86–2.33,0.46,0.35,0.57,0.35–0.57,22
Orlando,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.05,1.87,2.22,1.87–2.22,0.69,0.58,0.8,0.58–0.8,23
Atlanta,GA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2.04,1.71,2.37,1.71–2.37,1.35,0.87,1.82,0.87–1.82,24
Spokane,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",2,1.07,2.94,1.07–2.94,0.49,0.31,0.66,0.31–0.66,25
Colorado Springs,CO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.97,1.78,2.16,1.78–2.16,0.6,0.48,0.71,0.48–0.71,26
Cleveland,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.9,1.43,2.37,1.43–2.37,0.44,0.22,0.66,0.22–0.66,27
Kansas City,MO,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.89,1.74,2.04,1.74–2.04,0.26,0.2,0.31,0.2–0.31,28
Tampa,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.88,1.25,2.51,1.25–2.51,0.48,0.28,0.68,0.28–0.68,29
Cincinnati,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.85,1.3,2.39,1.3–2.39,0.33,0.12,0.54,0.12–0.54,30
Sioux Falls,SD,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.81,1.63,2,1.63–2,0.31,0.25,0.36,0.25–0.36,31
Columbus,OH,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.73,1.63,1.82,1.63–1.82,0.33,0.29,0.36,0.29–0.36,32
Fort Worth,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.65,1.57,1.72,1.57–1.72,0.25,0.21,0.29,0.21–0.29,33
Indianapolis,IN,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.63,1.44,1.82,1.44–1.82,0.68,0.55,0.82,0.55–0.82,34
Grand Rapids,MI,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.51,1.3,1.73,1.3–1.73,0.28,0.18,0.38,0.18–0.38,35
Jacksonville,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.44,1.3,1.57,1.3–1.57,0.3,0.26,0.35,0.26–0.35,36
Reno,NV,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.43,1.34,1.51,1.34–1.51,0.11,0.09,0.14,0.09–0.14,37
Louisville,KY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.27,1.14,1.4,1.14–1.4,0.3,0.25,0.34,0.25–0.34,38
Raleigh,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"Low-density suburb (1,000/sq. mi.)",1.25,1.13,1.37,1.13–1.37,0.22,0.17,0.28,0.17–0.28,39
Miami,FL,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",5.73,4.66,6.81,4.66–6.81,1.95,1.36,2.55,1.36–2.55,1
Oakland,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",4.72,4.03,5.41,4.03–5.41,0.91,0.75,1.08,0.75–1.08,2
San Francisco,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",4.64,4.16,5.12,4.16–5.12,1.79,1.43,2.15,1.43–2.15,3
New York,NY,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",4.11,3.94,4.28,3.94–4.28,1.33,1.21,1.45,1.21–1.45,4
Los Angeles,CA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",3.96,3.8,4.13,3.8–4.13,1.47,1.38,1.57,1.38–1.57,5
Boston,MA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",3.32,3.05,3.6,3.05–3.6,1.61,1.4,1.83,1.4–1.83,6
Seattle,WA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",2.93,2.76,3.1,2.76–3.1,0.94,0.87,1.02,0.87–1.02,7
Baton Rouge,LA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",2.86,1.97,3.76,1.97–3.76,0.67,0.44,0.89,0.44–0.89,8
Houston,TX,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",2.8,2.69,2.9,2.69–2.9,0.72,0.66,0.79,0.66–0.79,9
Durham,NC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",2.76,2.41,3.11,2.41–3.11,0.26,0.2,0.32,0.2–0.32,10
Washington,DC,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",2.7,2.31,3.08,2.31–3.08,0.73,0.55,0.92,0.55–0.92,11
Philadelphia,PA,Multifamily,"5 units, 1,200 sq. ft. each",5,1200,"City neighborhood (4,000/sq. mi.)",2.59,2.3,2.88,2.3–2.88,0.27,0.21,0.33,0.21–0.33,12
